WordID	Stimuliname	ID	Word	DepRel	Head	UniversalPOS	Dom	HeadPOS	Headdirection	Disttoheadnominal	POStag	Disttohead	Disttoheadabs	First fixation duration on every word	Fixation prob	Frequency	HowOftenNews	HowOftenTweets	InterestRating	InterestRating n std from mean	Mean fixation duration per sent	Mean fixation duration per word	Next fixation duration	Next word fixated binary	P1stFix	P2ndFix	Previous fixation duration	Previous word fixated binary	Re-read prob	Reading time per sent norm	Sentence len	Share of fixated words per sent	TimePrctg	Total fixation duration per word	Total regression from duration	Total regresssion to duration	Word len	index	level_0	nFixations	nFixations per sent norm	nLong regressions from	nLong regressions per sent norm	nLong regressions to	nRefixations	nRefixations per sent norm	nRegressions from	nRegressions per sent norm	nRegressions to
21	HDL0104.png	5	LOAN	nn	6	NOUN	HDL	NNP	Right	1	NNP	1.0	1.0	118.1	0.6	5.1893e-06	2.6	1.6	1.0	-1.17961143224	218.919407814	118.1	97.6	0.7	0.0	0.0	118.3	0.1	0.0	217.3125	8.0	0.7	0.06239983268	118.1	0.0	16.6	4.0	4.0	31982.0	0.6	0.95	0.0	0.0375	0.0	0.0	0.175	0.0	0.1	0.1
22	HDL0104.png	6	ASSOCIATION	root	0	NOUN	HDL	ROOT	root	1	NNP	0.0	0.0	139.1	0.7	2.34976e-05	2.6	1.6	1.0	-1.17961143224	218.919407814	164.55	184.1	0.7	0.0	0.1	142.3	0.6	0.3	217.3125	8.0	0.7	0.11942217496	190.0	0.0	0.0	11.0	5.0	31983.0	1.0	0.95	0.2	0.0375	0.0	0.3	0.175	0.0	0.1	0.0
23	HDL0104.png	7	-LRB-	punct	6	.	HDL	NNP	Left	1	-LRB-	-1.0	1.0	39.2	0.2	0.0	2.6	1.6	1.0	-1.17961143224	218.919407814	39.2	42.4	0.0	0.0	0.0	38.3	0.0	0.0	217.3125	8.0	0.7	0.02244869514	39.2	0.0	0.0	5.0	6.0	31984.0	0.2	0.95	0.0	0.0375	0.1	0.0	0.175	0.0	0.1	0.0
24	HDL0104.png	8	Edison	dep	6	NOUN	HDL	NNP	Left	>1	NNP	-2.0	2.0	181.6	0.7	3.74241e-05	2.6	1.6	1.0	-1.17961143224	218.919407814	197.65	169.1	0.5	0.1	0.0	113.4	0.7	0.1	217.3125	8.0	0.7	0.17589992314	224.1	0.0	14.2	6.0	7.0	31985.0	1.0	0.95	0.0	0.0375	0.0	0.3	0.175	0.0	0.1	0.1
25	HDL0104.png	9	,	punct	8	.	HDL	NNP	Left	1	,	-1.0	1.0	35.0	0.2	0.033130091	2.6	1.6	1.0	-1.17961143224	218.919407814	55.4	40.8	0.0	0.0	0.0	28.4	0.0	0.1	217.3125	8.0	0.7	0.04269815836	75.8	0.0	0.0	1.0	8.0	31986.0	0.3	0.95	0.0	0.0375	0.0	0.1	0.175	0.0	0.1	0.0
26	HDL0104.png	10	N.J.	appos	8	NOUN	HDL	NNP	Left	>1	NNP	-2.0	2.0	164.8	0.5	2.78e-07	2.6	1.6	1.0	-1.17961143224	218.919407814	178.55	83.3	0.1	0.0	0.0	112.4	0.7	0.1	217.3125	8.0	0.7	0.09062031738	192.3	0.0	39.1	4.0	9.0	31987.0	0.6	0.95	0.1	0.0375	0.0	0.1	0.175	0.0	0.1	0.1
27	HDL0104.png	11	-RRB-	punct	6	.	HDL	NNP	Left	>1	-RRB-	-5.0	5.0	0.0	0.0	0.0	2.6	1.6	1.0	-1.17961143224	218.919407814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.3125	8.0	0.7	0.0	0.0	0.0	0.0	5.0	10.0	31988.0	0.0	0.95	0.0	0.0375	0.0	0.0	0.175	0.0	0.1	0.0
28	HDL0104.png	12	--	punct	6	.	HDL	NNP	Left	>1	:	-6.0	6.0	34.1	0.1	0.0034254244	2.6	1.6	1.0	-1.17961143224	218.919407814	34.1	0.0	0.0	0.0	0.0	30.0	0.0	0.0	217.3125	8.0	0.7	0.01068630523	34.1	0.0	0.0	2.0	11.0	31989.0	0.1	0.95	0.0	0.0375	0.0	0.0	0.175	0.0	0.1	0.0
29	WBL0491.png	1	President	nn	3	NOUN	WBL	NNP	Right	>1	NNP	2.0	2.0	179.0	0.9	1.32e-08	2.6	1.6	3.5	0.89636964781	237.657705309	186.5	162.5	1.0	0.3	0.4	270.5	0.0	0.1	193.73	20.0	0.62	0.04951238248	194.0	128.1	0.0	9.0	0.0	31808.5	1.0	0.795	0.0	0.07	0.2	0.0	0.05	0.7	0.155	0.0
30	WBL0491.png	2	Vladimir	nn	3	NOUN	WBL	NNP	Right	1	NNP	1.0	1.0	190.7	1.0	1.0855e-06	2.6	1.6	3.5	0.89636964781	237.657705309	257.983333333	195.7	0.5	0.6	0.5	253.1	0.9	0.7	193.73	20.0	0.62	0.0986809373	332.2	45.8	128.1	8.0	1.0	31809.5	1.8	0.795	0.0	0.07	0.0	0.3	0.05	0.2	0.155	0.7
31	WBL0491.png	3	Putin	nsubj	4	NOUN	WBL	VBD	Right	1	NNP	1.0	1.0	97.4	0.5	2.727e-06	2.6	1.6	3.5	0.89636964781	237.657705309	97.4	101.7	0.5	0.1	0.0	108.2	1.0	0.0	193.73	20.0	0.62	0.0240043852	97.4	0.0	20.8	5.0	2.0	31810.5	0.5	0.795	0.0	0.07	0.0	0.0	0.05	0.0	0.155	0.1
32	WBL0491.png	4	said	root	0	VERB	WBL	ROOT	root	1	VBD	0.0	0.0	110.8	0.5	3.7199e-06	2.6	1.6	3.5	0.89636964781	237.657705309	116.65	103.2	0.5	0.0	0.0	103.4	0.5	0.1	193.73	20.0	0.62	0.03758344298	122.5	15.0	0.0	4.0	3.0	31811.5	0.6	0.795	0.0	0.07	0.3	0.1	0.05	0.1	0.155	0.0
33	WBL0491.png	5	Russia	nsubj	8	NOUN	WBL	VB	Right	>1	NNP	3.0	3.0	101.6	0.5	1.45884e-05	2.6	1.6	3.5	0.89636964781	237.657705309	101.6	94.9	0.4	0.0	0.0	69.9	0.5	0.0	193.73	20.0	0.62	0.02563567909	101.6	0.0	0.0	6.0	4.0	31812.5	0.5	0.795	0.1	0.07	0.1	0.0	0.05	0.0	0.155	0.0
34	WBL0491.png	6	is	dep	8	VERB	WBL	VB	Right	>1	VBZ	2.0	2.0	64.1	0.4	1.059e-07	2.6	1.6	3.5	0.89636964781	237.657705309	77.0	81.7	0.7	0.0	0.0	85.8	0.5	0.1	193.73	20.0	0.62	0.02485082739	89.9	58.3	0.0	2.0	5.0	31813.5	0.5	0.795	0.1	0.07	0.0	0.0	0.05	0.2	0.155	0.0
35	WBL0491.png	7	will	aux	8	VERB	WBL	VB	Right	1	MD	1.0	1.0	152.4	0.7	0.0001190899	2.6	1.6	3.5	0.89636964781	237.657705309	245.65	156.6	0.6	0.0	0.0	161.4	0.4	0.4	193.73	20.0	0.62	0.08989641374	367.2	149.8	60.8	4.0	6.0	31814.5	1.3	0.795	0.0	0.07	0.1	0.2	0.05	0.6	0.155	0.2
36	WBL0491.png	8	have	ccomp	4	VERB	WBL	VBD	Left	>1	VB	-4.0	4.0	131.6	0.6	1.32e-08	2.6	1.6	3.5	0.89636964781	237.657705309	189.5	163.1	0.5	0.0	0.0	145.7	0.7	0.4	193.73	20.0	0.62	0.06458806651	247.4	0.0	82.4	4.0	7.0	31815.5	1.0	0.795	0.2	0.07	0.0	0.1	0.05	0.0	0.155	0.4
37	WBL0491.png	9	new	amod	11	ADJ	WBL	NNS	Right	>1	JJ	2.0	2.0	103.2	0.5	1.32e-08	2.6	1.6	3.5	0.89636964781	237.657705309	131.7	94.1	0.6	0.0	0.1	149.1	0.6	0.3	193.73	20.0	0.62	0.04343001173	164.1	0.0	47.4	3.0	8.0	31816.5	0.9	0.795	0.1	0.07	0.1	0.1	0.05	0.0	0.155	0.3
38	WBL0491.png	10	nuclear	amod	11	ADJ	WBL	NNS	Right	1	JJ	1.0	1.0	143.1	0.6	2.8634e-05	2.6	1.6	3.5	0.89636964781	237.657705309	150.2	129.1	0.5	0.0	0.0	145.8	0.5	0.1	193.73	20.0	0.62	0.03761465678	157.3	0.0	0.0	7.0	9.0	31817.5	0.7	0.795	0.0	0.07	0.0	0.1	0.05	0.0	0.155	0.0
39	WBL0491.png	11	weapons	dobj	8	NOUN	WBL	VB	Left	>1	NNS	-3.0	3.0	98.3	0.5	1.059e-07	2.6	1.6	3.5	0.89636964781	237.657705309	98.3	103.3	0.7	0.0	0.0	118.2	0.6	0.0	193.73	20.0	0.62	0.024307115	98.3	0.0	0.0	7.0	10.0	31818.5	0.5	0.795	0.1	0.07	0.0	0.0	0.05	0.0	0.155	0.0
40	WBL0491.png	12	that	dobj	15	DET	WBL	VBP	Right	>1	WDT	3.0	3.0	174.1	0.7	1.32e-08	2.6	1.6	3.5	0.89636964781	237.657705309	181.6	115.7	0.8	0.0	0.0	139.9	0.5	0.1	193.73	20.0	0.62	0.0475018305	189.1	33.3	0.0	4.0	11.0	31819.5	0.8	0.795	0.1	0.07	0.1	0.0	0.05	0.2	0.155	0.0
41	WBL0491.png	13	other	amod	14	ADJ	WBL	NNS	Right	1	JJ	1.0	1.0	143.2	0.8	4.92722e-05	2.6	1.6	3.5	0.89636964781	237.657705309	143.2	154.9	0.8	0.0	0.0	147.5	0.7	0.0	193.73	20.0	0.62	0.03786259182	143.2	27.5	33.3	5.0	12.0	31820.5	0.8	0.795	0.0	0.07	0.1	0.0	0.05	0.2	0.155	0.2
42	WBL0491.png	14	countries	nsubj	15	NOUN	WBL	VBP	Right	1	NNS	1.0	1.0	129.1	0.8	5.71754e-05	2.6	1.6	3.5	0.89636964781	237.657705309	147.0	290.6	0.3	0.0	0.0	219.0	0.8	0.1	193.73	20.0	0.62	0.04194435685	164.9	71.6	16.7	9.0	13.0	31821.5	0.9	0.795	0.1	0.07	0.4	0.0	0.05	0.1	0.155	0.1
43	WBL0491.png	15	do	rcmod	11	VERB	WBL	NNS	Left	>1	VBP	-4.0	4.0	75.7	0.3	0.0001079964	2.6	1.6	3.5	0.89636964781	237.657705309	75.7	75.8	0.7	0.0	0.0	57.4	0.8	0.0	193.73	20.0	0.62	0.01656223744	75.7	44.9	0.0	2.0	14.0	31822.5	0.3	0.795	0.0	0.07	0.0	0.0	0.05	0.2	0.155	0.0
44	WBL0491.png	16	not	neg	15	ADV	WBL	VBP	Left	1	RB	-1.0	1.0	164.0	0.7	1.853e-07	2.6	1.6	3.5	0.89636964781	237.657705309	191.05	234.1	0.6	0.0	0.0	175.5	0.3	0.1	193.73	20.0	0.62	0.06123212109	218.1	88.2	10.8	3.0	15.0	31823.5	0.8	0.795	0.1	0.07	0.0	0.0	0.05	0.2	0.155	0.1
45	WBL0491.png	17	and	cc	15	CONJ	WBL	VBP	Left	>1	CC	-2.0	2.0	219.0	0.6	0.0005374271	2.6	1.6	3.5	0.89636964781	237.657705309	246.5	201.5	0.9	0.0	0.0	128.2	0.7	0.2	193.73	20.0	0.62	0.08307677016	274.0	63.2	88.2	3.0	16.0	31824.5	0.8	0.795	0.3	0.07	0.0	0.0	0.05	0.3	0.155	0.2
46	WBL0491.png	18	will	conj	15	VERB	WBL	VBP	Left	>1	MD	-3.0	3.0	308.3	0.9	0.0001190899	2.6	1.6	3.5	0.89636964781	237.657705309	435.933333333	218.1	0.7	0.0	0.0	227.3	0.6	0.1	193.73	20.0	0.62	0.11911779349	525.6	0.0	71.6	4.0	17.0	31825.5	1.1	0.795	0.2	0.07	0.0	0.1	0.05	0.0	0.155	0.1
47	WBL0491.png	19	not	neg	18	ADV	WBL	MD	Left	1	RB	-1.0	1.0	189.0	0.7	1.853e-07	2.6	1.6	3.5	0.89636964781	237.657705309	225.95	182.3	0.2	0.0	0.0	174.9	0.9	0.2	193.73	20.0	0.62	0.06334564377	255.5	34.1	120.6	3.0	18.0	31826.5	0.9	0.795	0.0	0.07	0.0	0.0	0.05	0.1	0.155	0.6
48	WBL0491.png	20	have	dep	15	VERB	WBL	VBP	Left	>1	VB	-5.0	5.0	56.6	0.2	1.32e-08	2.6	1.6	3.5	0.89636964781	237.657705309	56.6	34.1	0.0	0.0	0.0	109.9	0.7	0.0	193.73	20.0	0.62	0.00925273669	56.6	0.0	34.1	4.0	19.0	31827.5	0.2	0.795	0.0	0.07	0.0	0.0	0.05	0.0	0.155	0.1
49	WBL0491.png	21	.	punct	4	.	WBL	VBD	Left	>1	.	-17.0	17.0	0.0	0.0	0.0426665265	2.6	1.6	3.5	0.89636964781	237.657705309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.73	20.0	0.62	0.0	0.0	0.0	0.0	1.0	20.0	31828.5	0.0	0.795	0.0	0.07	0.0	0.0	0.05	0.0	0.155	0.0
50	MAI0742.png	1	I	nsubj	3	PRON	MAI	VB	Right	>1	PRP	2.0	2.0	13.3	0.1	0.0161294194	2.6	1.6	1.3	-0.89628111593	241.993311688	13.3	17.5	0.8	0.0	0.1	14.2	0.0	0.0	294.285714286	7.0	0.71428571427	0.00373280943	13.3	14.2	0.0	1.0	0.0	31670.0	0.1	1.15714285715	0.0	0.07142857144	0.0	0.0	0.22857142858	0.1	0.28571428572	0.0
51	MAI0742.png	2	better	advmod	3	ADV	MAI	VB	Right	1	RB	1.0	1.0	140.8	0.8	2.75352e-05	2.6	1.6	1.3	-0.89628111593	241.993311688	162.45	153.2	0.9	0.1	0.5	138.2	0.1	0.2	294.285714286	7.0	0.71428571427	0.09576311132	184.1	129.0	0.0	6.0	1.0	31671.0	1.0	1.15714285715	0.0	0.07142857144	0.1	0.1	0.22857142858	0.7	0.28571428572	0.0
52	MAI0742.png	3	pass	root	0	VERB	MAI	ROOT	root	1	VB	0.0	0.0	158.2	0.9	7.83563e-05	2.6	1.6	1.3	-0.89628111593	241.993311688	211.425	241.5	0.6	0.1	0.3	149.1	0.8	0.4	294.285714286	7.0	0.71428571427	0.16603374349	290.6	100.7	49.9	4.0	2.0	31672.0	1.5	1.15714285715	0.0	0.07142857144	0.4	0.2	0.22857142858	0.5	0.28571428572	0.3
53	MAI0742.png	4	on	prep	3	ADP	MAI	VB	Left	1	IN	-1.0	1.0	102.4	0.6	2.65e-08	2.6	1.6	1.3	-0.89628111593	241.993311688	139.05	128.2	0.6	0.3	0.0	125.0	0.9	0.2	294.285714286	7.0	0.71428571427	0.08411413528	175.7	19.2	56.7	2.0	3.0	31673.0	0.8	1.15714285715	0.0	0.07142857144	0.0	0.0	0.22857142858	0.1	0.28571428572	0.4
54	MAI0742.png	5	the	det	7	DET	MAI	NN	Right	>1	DT	2.0	2.0	107.5	0.6	7.94e-08	2.6	1.6	1.3	-0.89628111593	241.993311688	107.5	98.2	1.0	0.1	0.0	110.7	0.6	0.0	294.285714286	7.0	0.71428571427	0.07536142838	107.5	38.3	19.2	3.0	4.0	31674.0	0.6	1.15714285715	0.1	0.07142857144	0.0	0.0	0.22857142858	0.2	0.28571428572	0.1
55	MAI0742.png	6	Comets	nn	7	NOUN	MAI	NN	Right	1	NNPS	1.0	1.0	180.6	1.0	4.633e-07	2.6	1.6	1.3	-0.89628111593	241.993311688	343.126666667	351.4	0.9	0.4	0.1	285.6	0.6	0.7	294.285714286	7.0	0.71428571427	0.28798655709	611.0	159.0	84.0	6.0	5.0	31675.0	2.5	1.15714285715	0.3	0.07142857144	0.0	0.9	0.22857142858	0.4	0.28571428572	0.7
56	MAI0742.png	7	gam	pobj	4	NOUN	MAI	IN	Left	>1	NN	-3.0	3.0	343.0	0.9	1.32e-08	2.6	1.6	1.3	-0.89628111593	241.993311688	448.375	328.1	0.0	0.0	0.0	237.2	1.0	0.4	294.285714286	7.0	0.71428571427	0.25262867417	559.5	0.0	184.8	3.0	6.0	31676.0	1.5	1.15714285715	0.1	0.07142857144	0.0	0.4	0.22857142858	0.0	0.28571428572	0.5
57	MAI0742.png	8	.	punct	3	.	MAI	VB	Left	>1	.	-5.0	5.0	80.0	0.1	0.0426665265	2.6	1.6	1.3	-0.89628111593	241.993311688	118.3	0.0	0.0	0.0	0.0	99.1	0.0	0.0	294.285714286	7.0	0.71428571427	0.03437954083	118.3	0.0	0.0	1.0	7.0	31677.0	0.1	1.15714285715	0.0	0.07142857144	0.0	0.0	0.22857142858	0.0	0.28571428572	0.0
58	HDL0039.png	1	BROKERAGE	nn	2	NOUN	HDL	NN	Right	1	NN	1.0	1.0	304.8	1.0	2.65e-08	2.6	1.6	2.0	-0.29487200095	267.265785486	530.733333333	243.2	0.9	0.5	0.6	195.8	0.0	0.8	522.416666667	6.0	0.8	0.3491584014	974.3	233.2	0.0	9.0	0.0	31595.5	3.0	1.85000000001	0.0	0.03333333334	0.0	1.4	0.53333333332	1.2	0.33333333334	0.0
59	HDL0039.png	2	HIRING	nsubj	3	NOUN	HDL	VBZ	Right	1	NN	1.0	1.0	184.0	0.9	1.721e-07	2.6	1.6	2.0	-0.29487200095	267.265785486	260.65	274.1	0.8	0.1	0.4	357.2	1.0	0.6	522.416666667	6.0	0.8	0.10960341236	347.3	73.3	46.6	6.0	1.0	31596.5	1.6	1.85000000001	0.0	0.03333333334	0.2	0.1	0.53333333332	0.4	0.33333333334	0.4
60	HDL0039.png	3	languishes	root	0	VERB	HDL	ROOT	root	1	VBZ	0.0	0.0	255.6	0.8	2.65e-08	2.6	1.6	2.0	-0.29487200095	267.265785486	418.06	244.1	0.7	0.2	0.0	217.4	0.9	0.8	522.416666667	6.0	0.8	0.20516229353	641.2	21.7	89.9	10.0	2.0	31597.5	2.1	1.85000000001	0.0	0.03333333334	0.0	0.7	0.53333333332	0.1	0.33333333334	0.3
61	HDL0039.png	4	amid	erased	0	ADP	HDL	ROOT	Left	>1	IN	-4.0	4.0	171.5	0.7	1.32e-08	2.6	1.6	2.0	-0.29487200095	267.265785486	191.5	192.3	0.8	0.0	0.0	229.0	0.8	0.1	522.416666667	6.0	0.8	0.07526109903	211.5	34.2	16.7	4.0	3.0	31598.5	0.8	1.85000000001	0.0	0.03333333334	0.0	0.0	0.53333333332	0.2	0.33333333334	0.1
